category, task
"Bottle", "Fill up the bottle with water"
"Bucket", "Pick lemons from a tree and put into the bucket"
"Camera", "Remove camera from its box"
"Dishwasher", "Unpack the dishes from the dishwasher into the drawers"
"Door", "Paint a door with a paint brush, roller brush, paint tray, and paint bucket"
"FoldingChair", "Put the folding chair under the table"
"Kettle", "Boil water in the kettle"
"Lighter", "Light paper with a lighter, and put the lit paper in the stone oven"
Pliers, "Cut the cable jacket with the pliers, and then stripped and twisted the wires"
Scissors, "Trim the cloth with scissors"
Scissors, "Cut the cardboard piece in half with the scissors"
Toaster, "Clean the toaster with a towel"
Toilet, "Clean the toilet"
Window, "Spray the glass cleaner on the window, wipe the window with the cloth, and clean the window with the Squeegee"
